Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
unrolled_elementwise_kernel,8.40,8.81,2.83,22.88,100,0,79.15
unrolled_elementwise_kernel,28.37,19.90,9.36,77.97,100,0,72.16
unrolled_elementwise_kernel,32.83,22.23,10.81,71.08,100,0,71.66
unrolled_elementwise_kernel,8.43,8.76,2.84,22.74,100,0,79.47
unrolled_elementwise_kernel,0.07,5.72,0.14,6.03,100,0,94.46
unrolled_elementwise_kernel,0.01,9.19,0.18,6.56,100,0,97.24
unrolled_elementwise_kernel,0.01,9.01,0.18,6.80,100,0,97.26
unrolled_elementwise_kernel,0.07,6.20,0.15,6.35,100,0,96.91
unrolled_elementwise_kernel,0.07,6.29,0.15,5.98,100,0,97.00
unrolled_elementwise_kernel,0.01,9.49,0.19,7.26,100,0,98.43
unrolled_elementwise_kernel,0.01,9.09,0.18,6.15,100,0,97.16
unrolled_elementwise_kernel,0.07,6.47,0.15,6.68,100,0,97.93
unrolled_elementwise_kernel,0.07,6.35,0.15,6.26,100,0,98.99
unrolled_elementwise_kernel,0.01,9.12,0.18,5.87,100,0,97.26
unrolled_elementwise_kernel,0.01,9.15,0.18,5.53,100,0,97.58
unrolled_elementwise_kernel,0.07,6.41,0.15,6.70,100,0,98.20
unrolled_elementwise_kernel,0.07,6.14,0.14,5.97,100,0,98.06
unrolled_elementwise_kernel,0.01,8.77,0.18,5.85,100,0,97.21
unrolled_elementwise_kernel,0.01,8.68,0.18,5.10,100,0,96.04
unrolled_elementwise_kernel,0.07,5.81,0.14,6.11,100,0,97.78
unrolled_elementwise_kernel,0.06,5.56,0.13,6.31,100,0,95.89
unrolled_elementwise_kernel,0.01,9.55,0.19,5.59,100,0,98.58
unrolled_elementwise_kernel,0.01,8.90,0.18,6.50,100,0,97.06
unrolled_elementwise_kernel,0.07,5.83,0.14,6.01,100,0,96.90
unrolled_elementwise_kernel,0.07,5.84,0.13,6.51,100,0,98.90
unrolled_elementwise_kernel,0.01,9.47,0.19,7.26,100,0,96.47
unrolled_elementwise_kernel,0.01,8.97,0.18,6.33,100,0,95.20
unrolled_elementwise_kernel,0.07,5.94,0.14,6.48,100,0,95.82
unrolled_elementwise_kernel,54.21,36.71,36.71,91.35,100,0,71.21
unrolled_elementwise_kernel,51.46,32.75,20.07,87.33,100,0,71.39
unrolled_elementwise_kernel,53.49,36.85,36.85,92.13,100,0,70.36
unrolled_elementwise_kernel,52.86,33.62,20.57,87.72,100,0,70.05
unrolled_elementwise_kernel,54.40,37.22,37.22,90.26,100,0,70.09
unrolled_elementwise_kernel,51.90,33.00,20.53,82.31,100,0,70.33
unrolled_elementwise_kernel,54.23,37.10,37.10,89.53,100,0,70.19
unrolled_elementwise_kernel,52.88,33.67,19.90,89.33,100,0,70.37
unrolled_elementwise_kernel,54.36,36.70,36.70,90.25,100,0,69.43
unrolled_elementwise_kernel,50.67,32.12,19.29,87.79,100,0,70.30
unrolled_elementwise_kernel,53.14,36.29,36.29,90.54,100,0,69.09
unrolled_elementwise_kernel,52.63,33.48,20.46,87.36,100,0,69.56
vectorized_elementwise_kernel,23.86,84.78,84.78,49.31,100,0,99.89
vectorized_elementwise_kernel,24.35,92.10,92.10,49.75,100,0,99.71
vectorized_elementwise_kernel,0.01,8.12,0.07,6.66,100,8.33,99.14
vectorized_elementwise_kernel,0.01,9.31,0.07,6.88,100,8.33,98.92
vectorized_elementwise_kernel,0.01,7.89,0.04,5.95,100,25,99.34
vectorized_elementwise_kernel,0.01,9.76,0.06,5.02,100,0,99.14
vectorized_elementwise_kernel,0.01,8.50,0.06,6.21,100,47.06,99.51
index_elementwise_kernel,25.99,6.61,0.25,47.63,75,66.18,96.60
elementwise_kernel,17.65,10.73,5.23,44.48,100,48.22,66.21
elementwise_kernel_with_index,0.02,11.81,0.03,2.32,100,0,99.77
vectorized_elementwise_kernel,0.01,10.04,0.05,6.06,100,0,100.72
elementwise_kernel,0.91,8.14,0.11,6.26,100,43.06,97.27
CatArrayBatchedCopy_aligned16_contig,0.90,7.53,0.47,6.26,100,58.93,93.28
rmsnorm_fwd_tuned_kernel,5.45,10.18,6.10,15.77,25,25.13,67.24
Kernel,15.07,26.72,12.52,6.16,6.25,0,56.41
splitKreduce_kernel,17.71,13.66,10.87,63.48,100,0,42.25
elementwise_kernel,3.79,6.85,1.48,12.04,100,23.24,81.81
rmsnorm_fwd_general_kernel,5.07,8.61,1.87,12.84,100,30.26,82.50
elementwise_kernel,0.96,5.94,0.46,6.44,100,24.98,92.73
rmsnorm_fwd_general_kernel,1.30,7.74,0.53,6.74,100,26.85,93.16
fused_rope_forward,6.53,6.24,1.76,12.06,100,60,74.73
fused_rope_forward,4.40,6.53,1.13,10.98,100,68.18,82.26
